Date,Temp_Max_F,Temp_Min_F,Temp_Ave_F,Temp_Depart_F,HDD,CDD,Precipitation_in,Year,Month,Day,Week,Area,Rasters
1/26/85,53,34,43.5,-10.1,21,0,0,1985,1,26,4,23,PNG_clip_MIs_19850126_Marsh_Island_Polygon_RasterClipper_area23
1/13/86,61,38,49.5,-3.3,15,0,0,1986,1,13,3,23,PNG_clip_MIs_19860113_Marsh_Island_Polygon_RasterClipper_area23
12/2/87,63,36,49.5,-7.7,15,0,0,1987,12,2,49,23,PNG_clip_MIs_19871202_Marsh_Island_Polygon_RasterClipper_area23
12/4/88,72,40,56,-0.9,9,0,0,1988,12,4,50,23,PNG_clip_MIs_19881204_Marsh_Island_Polygon_RasterClipper_area23
3/10/89,72,38,55,-6.6,10,0,0,1989,3,10,10,23,PNG_clip_MIs_19890310_Marsh_Island_Polygon_RasterClipper_area23
10/20/89,60,34,47,-22,18,0,0,1989,10,20,42,23,PNG_clip_MIs_19891020_Marsh_Island_Polygon_RasterClipper_area23
11/24/90,70,44,57,-1.7,8,0,0,1990,11,24,47,23,PNG_clip_MIs_19901124_Marsh_Island_Polygon_RasterClipper_area23
4/1/91,72,44,58,-7.4,7,0,0,1991,4,1,14,23,PNG_clip_MIs_19910401Marsh_Island_Polygon_RasterClipper_area23
10/12/92,78,49,63.5,-8.2,1,0,0,1992,10,12,42,23,PNG_clip_MIs_19921012_Marsh_Island_Polygon_RasterClipper_area23
1/16/93,60,39,49.5,-3.3,15,0,0,1993,1,16,3,23,PNG_clip_MIs_19930116_Marsh_Island_Polygon_RasterClipper_area23
9/29/93,83,58,70.5,-5.2,0,6,0,1993,9,29,40,23,PNG_clip_MIs_19930929_Marsh_Island_Polygon_RasterClipper_area23
4/12/95,78,53,65.5,-2.1,0,1,0,1995,4,12,15,23,PNG_clip_MIs_19950412_Marsh_Island_Polygon_RasterClipper_area23
10/21/95,72,43,57.5,-11.1,7,0,0,1995,10,21,42,23,PNG_clip_MIs_19951021_Marsh_Island_Polygon_RasterClipper_area23
11/22/95,69,40,54.5,-4.6,10,0,0,1995,11,22,47,23,PNG_clip_MIs_19951122_Marsh_Island_Polygon_RasterClipper_area23
4/30/96,71,46,58.5,-13.2,6,0,0,1996,4,30,18,23,PNG_clip_MIs_19960430_Marsh_Island_Polygon_RasterClipper_area23
10/23/96,70,42,56,-11.9,9,0,0,1996,10,23,43,23,PNG_clip_MIs_19961023_Marsh_Island_Polygon_RasterClipper_area23
11/8/96,67,47,57,-5.6,8,0,0,1996,11,8,45,23,PNG_clip_MIs_19961108_Marsh_Island_Polygon_RasterClipper_area23
4/4/98,71,53,62,-4,3,0,0,1998,4,4,14,23,PNG_clip_MIs_19980404_Marsh_Island_Polygon_RasterClipper_area23
12/16/98,61,34,47.5,-7.7,17,0,0,1998,12,16,51,23,PNG_clip_MIs_19981216_Marsh_Island_Polygon_RasterClipper_area23
3/22/99,69,47,58,-5.4,7,0,0,1999,3,22,13,23,PNG_clip_MIs_19990322_Marsh_Island_Polygon_RasterClipper_area23
4/25/00,75,56,65.5,-5,0,1,0,2000,4,25,18,23,PNG_clip_MIs_20000425_Marsh_Island_Polygon_RasterClipper_area23
12/5/00,54,32,43,-12.2,22,0,0,2000,12,5,50,23,PNG_clip_MIs_20001205_Marsh_Island_Polygon_RasterClipper_area23
11/6/01,76,52,64,0.8,1,0,0,2001,11,6,45,23,PNG_clip_MIs_20011106_Marsh_Island_Polygon_RasterClipper_area23
9/27/04,83,64,73.5,-2.8,0,9,0,2004,9,27,40,23,PNG_clip_MIs_20040927_Marsh_Island_Polygon_RasterClipper_area23
2/5/06,65,38,51.5,-3.7,13,0,0,2006,2,5,6,23,PNG_clip_MIs_20060205_Marsh_Island_Polygon_RasterClipper_area23
4/10/06,78,45,61.5,-5.7,3,0,0,2006,4,10,15,23,PNG_clip_MIs_20060410_Marsh_Island_Polygon_RasterClipper_area23
5/12/06,79,53,66,-8.5,0,1,0,2006,5,12,19,23,PNG_clip_MIs_20060512_Marsh_Island_Polygon_RasterClipper_area23
6/13/06,95,72,83.5,3.2,0,19,0,2006,6,13,24,23,PNG_clip_MIs_20060613_Marsh_Island_Polygon_RasterClipper_area23
2/27/08,55,38,46.5,-13.1,18,0,0,2008,2,27,9,23,PNG_clip_MIs_20080227_Marsh_Island_Polygon_RasterClipper_area23
4/15/08,64,38,51,-17.3,14,0,0,2008,4,15,16,23,PNG_clip_MIs_20080415_Marsh_Island_Polygon_RasterClipper_area23
10/8/08,77,60,68.5,-4.6,0,4,0,2008,10,8,41,23,PNG_clip_MIs_20081008_Marsh_Island_Polygon_RasterClipper_area23
11/25/08,64,41,52.5,-6,12,0,0.02,2008,11,25,48,23,PNG_clip_MIs_20081125_Marsh_Island_Polygon_RasterClipper_area23
11/12/09,69,45,57,-4.5,8,0,0,2009,11,12,46,23,PNG_clip_MIs_20091112_Marsh_Island_Polygon_RasterClipper_area23
2/16/10,50,29,39.5,-17.9,25,0,0,2010,2,16,8,23,PNG_clip_MIs_20100216_Marsh_Island_Polygon_RasterClipper_area23
10/14/10,79,55,67,-4.1,0,2,0,2010,10,14,42,23,PNG_clip_MIs_20101014_Marsh_Island_Polygon_RasterClipper_area23
10/30/10,76,43,59.5,-6,5,0,0,2010,10,30,44,23,PNG_clip_MIs_20101030_Marsh_Island_Polygon_RasterClipper_area23
12/1/10,58,34,46,-11.4,19,0,0,2010,12,1,49,23,PNG_clip_MIs_20101201_Marsh_Island_Polygon_RasterClipper_area23
1/2/11,54,38,46,-7.2,19,0,0,2011,1,2,2,23,PNG_clip_MIs_20110102_Marsh_Island_Polygon_RasterClipper_area23
4/8/11,83,59,71,4.2,0,6,0,2011,4,8,15,23,PNG_clip_MIs_20110408_Marsh_Island_Polygon_RasterClipper_area23
4/24/11,84,70,77,6.7,0,12,0,2011,4,24,18,23,PNG_clip_MIs_20110424_Marsh_Island_Polygon_RasterClipper_area23
5/10/11,84,71,77.5,3.4,0,13,0,2011,5,10,20,23,PNG_clip_MIs_20110510_Marsh_Island_Polygon_RasterClipper_area23
6/11/11,91,71,81,0.9,0,16,0.04,2011,6,11,24,23,PNG_clip_MIs_20110611_Marsh_Island_Polygon_RasterClipper_area23
8/30/11,95,73,84,2.7,0,19,0,2011,8,30,36,23,PNG_clip_MIs_20110830_Marsh_Island_Polygon_RasterClipper_area23
9/15/11,88,67,77.5,-1.5,0,13,0,2011,9,15,38,23,PNG_clip_MIs_20110915_Marsh_Island_Polygon_RasterClipper_area23
10/1/11,77,55,66,-9.2,0,1,0,2011,10,1,40,23,PNG_clip_MIs_20111001_Marsh_Island_Polygon_RasterClipper_area23
11/2/11,79,57,68,3.5,0,3,0,2011,11,2,45,23,PNG_clip_MIs_20111102_Marsh_Island_Polygon_RasterClipper_area23